CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1994-07-01 00:00,90.4,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1994-08-01 00:00,108.2,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1994-09-01 00:00,58.6,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1994-10-01 00:00,355.6,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1994-11-01 00:00,165.5,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1994-12-01 00:00,80.4,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1995-01-01 00:00,7.6,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1995-02-01 00:00,35.7,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1995-03-01 00:00,113.8,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1995-04-01 00:00,103.7,50,,900
